"variable","description"
"score_rapidity_and_effici.31522","Score Rapidity and efficiency of citizens dealings with the  administration"
"score_balance_of_migratio.31528","Score Balance of migration for skilled men"
"score_reducing_guaranteed.31529","Score Reducing guaranteed recruitment"
"score_reduction_in_quanti.31530","Score Reduction in quantitative credit controls"
"score_reduction_in_the_al.31531","Score Reduction in the allocation of lending by sector or to stateowned enterprises"
"score_reforms_aimed_at_li.31532","Score Reforms aimed at linking civil servants remuneration and promotion to their performance"
"score_reforms_aimed_at_re.31533","Score Reforms aimed at reducing corruption"
"score_reforms_aimed_at_si.31534","Score Reforms aimed at simplifying administrative formalities"
"score_reforms_of_the_regu.31535","Score Reforms of the regulation of the financial system in the past 3 years"
"score_reforms_to_liberali.31536","Score Reforms to liberalise the credit sector in the past 3 years"
"score_reforms_to_open_up_.31537","Score Reforms to open up the banking system"
"score_reforms_to_open_up_.31538","Score Reforms to open up the financial market"
"score_balance_of_migratio.31539","Score Balance of migration for skilled women"
"score_reforms_to_open_up_.31540","Score Reforms to open up the financial system in the past 3 years ?"
"score_reforms:_de_facto_o.31541","Score Reforms: de facto openness of bank and financial establishment privatisations"
"score_reforms:_implementa.31542","Score Reforms: implementation of the bank privatisation programme"
"score_reforms:_nonfinanci.31543","Score Reforms: nonfinancial enterprises privatisations from 2001 to 2006"
"score_regulation_of_compe.31544","Score Regulation of competition in the banking system"
"score_relaxing_dismissal_.31547","Score Relaxing dismissal requirements"
"score_balance_of_migratio.31550","Score Balance of migration for unskilled men"
"score_representative_orga.31559","Score Representative organisations"
"score_balance_of_migratio.31562","Score Balance of migration for unskilled women"
"score_respect_for_contrac.31564","Score Respect for contracts between local private agents and foreigners"
"score_respect_for_contrac.31566","Score Respect for contracts with private mediation (lawyers)"
"score_respect_for_intelle.31568","Score Respect for intellectual property as regards counterfeit goods"
"score_respect_for_intelle.31569","Score Respect for intellectual property as regards manufacturing secrets, patents, etc"
"score_respect_for_law_in_.31571","Score Respect for law in relations between citizens and the administration"
"score_respect_for_minorit.31572","Score Respect for minorities (ethnic, religious, linguistic, etc)"
"score_respect_for_oral_co.31575","Score Respect for oral contracts"
"score_retirement_coverage.31580","Score Retirement coverage"
"score_bank_shareholders_(.31585","Score Bank shareholders (private and public)"
"score_rigidity_of_the_for.31588","Score Rigidity of the formal labour market (private and public)"
"score_banking_and_financi.31596","Score Banking and financial supervision"
"score_running_of_the_admi.31601","Score Running of the administrations polarised by and towards the executive (Head of State or Prime Minister)"
"score_running_of_the_cust.31602","Score Running of the customs administration"
"score_running_of_the_just.31603","Score Running of the justice system"
"score_scale_of_collective.31604","Score Scale of collectively owned land (State property, Region property, etc)"
"score_scale_of_financial_.31607","Score Scale of financial crossholdings between local firms"
"score_scale_of_financial_.31608","Score Scale of financial crossholdings between local firms and banks"
"score_scale_of_financial_.31609","Score Scale of financial crossholdings between local firms and banks involving foreign firms or banks"
"score_scale_of_traditiona.31612","Score Scale of traditional collectively owned land (traditional rights, religious rights, others, etc)"
"score_sector_exclusion_of.31613","Score Sector exclusion of certain banks and financial establishments"
"score_security_of_contrac.31615","Score Security of contracts between private agents"
"score_security_of_propert.31618","Score Security of property rights: formal property rights"
"score_security_of_traditi.31619","Score Security of traditional property rights"
"score_segmentation_of_the.31620","Score Segmentation of the labour market"
"score_segregation_in_acce.31626","Score Segregation in access to education, health care, etc"
"score_segregation_in_acce.31627","Score Segregation in access to privatesector employment"
"score_segregation_in_acce.31628","Score Segregation in access to publicsector employment"
"score_settlement_of_econo.31631","Score Settlement of economic disputes: justice in commercial matters"
"score_share_of_distributi.31634","Score Share of distribution acccounted for by large foreign firms"
"score_share_of_distributi.31635","Score Share of distribution accounted for by large national firms"
"score_share_of_informal_e.31642","Score Share of informal employment in the rural sector"
"score_share_of_informal_e.31643","Score Share of informal employment in the urban sector"
"score_share_of_public_sec.31646","Score Share of public sector in GDP"
"score_share_of_public_sec.31647","Score Share of public sector in public utility services"
"score_share_of_stateowned.31648","Score Share of stateowned enterprises"
"score_shareholders:_weigh.31650","Score Shareholders: Weight of dispersed shareownership"
"score_shareholders:_weigh.31652","Score Shareholders: weight of family shareholders"
"score_shareholders:_weigh.31653","Score Shareholders: weight of institutional investors"
"score_shareholders:_weigh.31654","Score Shareholders: weight of the government"
"score_sickness_coverage.31655","Score Sickness coverage"
"score_single_political_pa.31660","Score Single political party (de facto)"
"score_small_farmers.31662","Score Small farmers"
"score_bankruptcy_act.31663","Score Bankruptcy Act"
"score_social_dialogue.31664","Score Social dialogue"
"score_social_mobility_in_.31668","Score Social mobility in the civil service"
"score_social_mobility_in_.31669","Score Social mobility in the private sector"
"score_social_mobility:_re.31670","Score Social mobility: recruitment and promotion in the public and private sectors"
"score_social_mobility:_yo.31671","Score Social mobility: young graduates from higher education"
"score_social_segregation_.31672","Score Social segregation based on ethnic origin or caste"
"score_social_segregation_.31673","Score Social segregation based on gender"
"score_social_segregation_.31675","Score Social segregation based on religion"
"score_societys_aptitude_f.31676","Score Societys aptitude for adaptation and innovation"
"score_societys_aptitude_f.31677","Score Societys aptitude for legal and institutional adaptation and innovation"
"score_societys_aptitude_f.31678","Score Societys aptitude for managerial adaptation and innovation"
"score_societys_aptitude_f.31679","Score Societys aptitude for technological adaptation and innovation"
"score_state_basic_health_.31696","Score State basic health system"
"score_bilateral_and_multi.31697","Score Bilateral and multilateral donors"
"score_state_primary_and_s.31699","Score State primary and secondary education system"
"score_strengthening_of_th.31712","Score Strengthening of the financial systems prudential rules"
"score_strengthening_of_th.31713","Score Strengthening of the financial systems supervision"
"score_capability_of_the_c.31720","Score Capability of the customs administration to implement its customs commitments (rules of origin, rules of valuation for customs purposes)"
"score_subsidies_for_prima.31724","Score Subsidies for primary products (social safety net) aggregated and inversed"
"score_capability_of_the_c.31732","Score Capability of the customs administration to take advantage of the trade advantages (preferences, regional agreements, etc)"
"score_tax_reforms_in_the_.31735","Score Tax reforms in the past 3 years"
"score_the_authorities_str.31750","Score The authorities strategies"
"score_the_priorities_of_t.31756","Score The priorities of the local elites"
"score_trade_union_plurali.31760","Score Trade union plurality and autonomy"
"score_tradeunion_rights_f.31761","Score Tradeunion rights freedom"
"score_traditional_credit_.31763","Score Traditional credit system"
"score_traditional_credit_.31765","Score Traditional credit systems (informal or quasiinformal)"
"score_traditional_forms_o.31766","Score Traditional forms of solidarity"
"score_traditional_solidar.31769","Score Traditional solidarity between urban and rural areas (in both directions)"
"score_traditional_solidar.31770","Score Traditional solidarity in rural areas"
"score_transparency_of_eco.31775","Score Transparency of economic policy (fiscal, taxation, monetary, exchangerate, etc)"
"score_transparency_of_pub.31783","Score Transparency of public action in the economic field"
"score_transparency_of_the.31784","Score Transparency of the dialogue process"
"score_transport_infrastru.31786","Score Transport infrastructures"
"score_unemployment_covera.31787","Score Unemployment coverage"
"score_violent_social_conf.31800","Score Violent social conflicts"
"score_capacity_of_the_pol.31801","Score Capacity of the political authorities"
"score_wage_bargaining__fo.31807","Score Wage bargaining  for bluecollar workers"
"score_wage_bargaining__fo.31808","Score Wage bargaining  for nonmanagerial staff"
"score_water_and_sanitatio.31810","Score Water and sanitation"
"score_weight_of_multisect.31811","Score Weight of multisector groups that DO NOT have a financial institution in their group"
"score_weight_of_multisect.31813","Score Weight of multisector groups that HAVE one or more financial institutions in their group"
"score_where_the_elite_are.31814","Score Where the elite are educated"
"score_workforce_employed_.31816","Score Workforce employed in publicsector enterprises as % of total labour force"
"score_workforce_employed_.31817","Score Workforce employed in the civil service as % of total labour force"
"score_equality_of_treatme.31819","Score equality of treatment: segregation based on traditions and beliefs"
"score_in_the_past_3_years.31821","Score in the past 3 years, do you consider that these freedoms and autonomy have on the whole substantially improved, moderately improved, remained stable, deteriorated, severely deteriorated?"
"score_capacity_of_the_tax.31822","Score Capacity of the tax administration to implement measures decided on"
"score_in_the_past_3_years.31823","Score in the past 3 years, has public security in your view substantially improved, moderately improved, remained stable, deteriorated, severely deteriorated?"
"score_in_the_past_3_years.31824","Score in the past 3 years, has the effectiveness of the tax system in your view substantially improved, moderately improved, remained stable, deteriorated, severely deteriorated?"
"score_in_the_past_3_years.31825","Score in the past 3 years, has the overall effectiveness of public action in your view substantially improved, moderately improved, remained stable, deteriorated, severely deteriorated?"
"score_in_the_past_3_years.31826","Score in the past 3 years, have the independence and efficiency of the justice system in your view substantially improved, moderately improved, remained stable, deteriorated, severely deteriorated?"
"score_in_the_past_3_years.31827","Score in the past 3 years, have these rights and this functioning in your view substantially improved, moderately improved, remained stable, deteriorated, severely deteriorated?"
"score_investment_in_the_f.31828","Score investment in the future of the population"
"score_tax_reform_aimed_at.31829","Score tax reform aimed at ... broadening the incometax base, the VAT base, etc"
"score_tax_reform_aimed_at.31830","Score tax reform aimed at improving recovery within the framework of existing arrangements (strengthening of tax discipline)"
"score_tax_reform_aimed_at.31831","Score tax reform aimed at reducing exemptions (tax distortions)"
"score_tax_reform_aimed_at.31832","Score tax reform aimed at simplifying arrangements"
