country,countryiso3,t.pm2.5.c.2016,u.pm2.5.c.2016,r.pm2.5.c.2016,t.ap.d.2016.total,t.ap.d.2016.lri,t.ap.d.2016.tblc,t.ap.d.2016.ihd,t.ap.d.2016.stroke,t.ap.d.2016.copd,ap.d.100k.2016.total,ap.d.100k.2016.lri,ap.d.100k.2016.tblc,ap.d.100k.2016.ihd,ap.d.100k.2016.stroke,ap.d.100k.2016.copd,ap.d.100k.as.2016.total,ap.d.100k.as.2016.lri,ap.d.100k.as.2016.tblc,ap.d.100k.as.2016.ihd,ap.d.100k.as.2016.stroke,ap.d.100k.as.2016.copd,t.ap.dal.2016.total,t.ap.dal.2016.lri,t.ap.dal.2016.tblc,t.ap.dal.2016.ihd,t.ap.dal.2016.stroke,t.ap.dal.2016.copd,ap.dal.100k.2016.total,ap.dal.100k.2016.lri,ap.dal.100k.2016.tblc,ap.dal.100k.2016.ihd,ap.dal.100k.2016.stroke,ap.dal.100k.2016.copd,ap.dal.100k.as.2016.total,ap.dal.100k.as.2016.lri,ap.dal.100k.as.2016.tblc,ap.dal.100k.as.2016.ihd,ap.dal.100k.as.2016.stroke,ap.dal.100k.as.2016.copd,t.ap.yll.2016.total,t.ap.yll.2016.lri,t.ap.yll.2016.tblc,t.ap.yll.2016.ihd,t.ap.yll.2016.stroke,t.ap.yll.2016.copd,t.hap.d.2016.total,t.hap.d.2016.lri,t.hap.d.2016.tblc,t.hap.d.2016.ihd,t.hap.d.2016.stroke,t.hap.d.2016.copd,hap.d.100k.2016.total,hap.d.100k.2016.lri,hap.d.100k.2016.tblc,hap.d.100k.2016.ihd,hap.d.100k.2016.stroke,hap.d.100k.2016.copd,hap.d.100k.as.2016.total,hap.d.100k.as.2016.lri,hap.d.100k.as.2016.tblc,hap.d.100k.as.2016.ihd,hap.d.100k.as.2016.stroke,hap.d.100k.as.2016.copd,t.hap.dal.2016.total,t.hap.dal.2016.lri,t.hap.dal.2016.tblc,t.hap.dal.2016.ihd,t.hap.dal.2016.stroke,t.hap.dal.2016.copd,hap.dal.100k.2016.total,hap.dal.100k.2016.lri,hap.dal.100k.2016.tblc,hap.dal.100k.2016.ihd,hap.dal.100k.2016.stroke,hap.dal.100k.2016.copd,hap.dal.100k.as.2016.total,hap.dal.100k.as.2016.lri,hap.dal.100k.as.2016.tblc,hap.dal.100k.as.2016.ihd,hap.dal.100k.as.2016.stroke,hap.dal.100k.as.2016.copd
Mauritania,MRT,40.8,41.7,40,1910,1023,6,536,239,105,44,24,0,12,6,2,88,36,0,32,14,7,86064,62110,219,13809,6870,3056,2001,1444,5,321,160,71,2457,1278,9,687,324,159,84977,62032,214,13727,6618,2386,2411,1449,11,531,275,145,56,34,0,12,6,3,107,51,1,31,15,9,116295,88590,399,13807,7783,4167,2704,2060,9,321,181,97,3175,1808,17,683,364,217
Mauritius,MUS,13.5,13.5,14.9,478,32,13,244,103,86,38,3,1,19,8,7,30,2,1,15,7,5,12318,826,349,6169,2731,2244,976,65,28,489,216,178,789,66,21,387,173,141,11488,817,345,6125,2574,1626,141,17,9,51,26,37,11,1,1,4,2,3,9,1,1,3,2,2,3742,444,249,1342,706,943,296,35,20,106,56,75,243,36,15,84,45,59
Malawi,MWI,22.1,21.9,23.3,3139,1680,10,789,425,235,17,9,0,4,2,1,38,15,0,13,7,4,139456,102798,313,19142,10708,6495,771,568,2,106,59,36,1019,501,4,268,151,96,136526,102486,304,18870,10207,4658,7941,4877,41,1460,957,607,44,27,0,8,5,3,92,43,1,24,15,10,380160,299714,1256,35022,23369,16721,2101,1657,7,194,129,92,2600,1451,17,493,330,247
Malaysia,MYS,16,17.3,11.6,9495,2018,443,4823,1454,757,30,6,1,15,5,2,41,9,2,21,6,3,245892,47682,12339,119840,38642,27390,788,153,40,384,124,88,966,189,47,468,151,111,228772,47355,12235,118887,35503,14792,1708,585,175,566,209,172,5,2,1,2,1,1,7,3,1,2,1,1,45617,13771,4913,14559,5503,6275,146,44,16,47,18,20,179,55,19,56,21,25
Namibia,NAM,22.6,21,24,758,302,6,221,135,93,31,12,0,9,5,4,61,19,1,20,12,9,27585,16165,188,5406,3319,2506,1112,652,8,218,134,101,1596,656,14,440,273,213,26789,16120,187,5369,3195,1919,1315,643,18,276,203,174,53,26,1,11,8,7,102,39,2,25,19,17,51996,34650,551,6797,4926,4682,2097,1397,22,274,199,189,2827,1398,41,551,404,398
Niger,NER,70.8,73,69.7,14327,9820,17,2338,1478,673,69,48,0,11,7,3,125,58,0,35,21,11,841844,710039,573,65161,45974,20096,4072,3435,3,315,222,97,3929,2335,6,799,528,260,836489,709435,545,64801,44897,16810,21078,14696,31,3144,2201,1006,102,71,0,15,11,5,181,86,0,47,31,16,1260515,1066695,1048,86881,66900,29867,6097,5160,5,420,324,144,5856,3483,12,1073,772,387
Nigeria,NGA,48.7,46.3,56.5,140555,98105,231,23449,12751,6019,76,53,0,13,7,3,147,82,0,37,18,10,7523259,6282620,7978,648968,397731,185962,4045,3378,4,349,214,100,4493,2949,9,827,465,243,7477060,6278669,7792,645284,388881,156433,218362,156022,471,32398,19782,9688,117,84,0,17,11,5,226,129,1,51,29,16,11879637,10029199,16334,890669,603917,297553,6387,5392,9,479,325,160,7003,4683,17,1142,709,389
Nicaragua,NIC,16.9,19,14.6,1122,165,31,613,173,140,18,3,1,10,3,2,24,3,1,14,4,3,32730,9433,814,14621,5009,2853,532,153,13,238,81,46,651,151,18,313,106,64,31926,9409,808,14507,4793,2410,1752,392,104,722,251,284,28,6,2,12,4,5,37,7,2,16,6,6,57217,22593,2711,17601,7312,5770,930,367,44,286,119,94,1106,360,60,375,153,129
Niue,NIU,11.5,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,NLD,12.1,12.1,11,5320,533,799,1970,840,1178,31,3,5,12,5,7,14,1,2,5,2,3,95897,7175,17924,33197,14545,23055,565,42,106,195,86,136,292,22,58,103,43,67,88012,7115,17664,32601,12386,18245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,NOR,7,7.8,6.4,981,106,75,449,161,190,19,2,1,9,3,4,9,1,1,4,1,2,16131,1171,1618,7184,2650,3508,307,22,31,137,50,67,169,11,18,78,27,36,14870,1162,1593,7059,2185,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,NPL,94.3,99.5,68.3,21908,4112,918,8207,3410,5262,76,14,3,28,12,18,112,20,4,42,17,29,653485,183499,27529,213405,88686,140366,2255,633,95,736,306,484,2939,685,126,1011,421,695,616731,182763,27413,212155,85587,108813,23397,4588,1218,8059,3578,5954,81,16,4,28,12,21,120,22,6,41,18,33,710929,205595,36880,210413,91266,158351,2453,709,127,726,315,546,3192,767,169,996,433,784
Nauru,NRU,12.5,12.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,NZL,5.7,5.8,5.2,634,38,40,346,114,96,14,1,1,7,2,2,7,0,1,4,1,1,11241,483,882,6143,1937,1796,241,10,19,132,42,39,151,7,12,84,25,22,10616,476,868,6085,1687,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,OMN,38.2,36.2,40,890,128,23,596,111,31,20,3,1,13,3,1,49,7,1,33,6,2,29841,5058,679,18548,3989,1568,674,114,15,419,90,35,1226,178,35,786,156,71,28373,4954,671,18365,3663,719,111,22,5,65,14,5,3,1,0,1,0,0,6,1,0,3,1,0,3878,881,145,2075,483,252,88,20,3,47,11,6,156,31,7,85,18,12
Pakistan,PAK,55.2,56.2,52,121301,28592,1674,53472,20767,16796,63,15,1,28,11,9,98,14,1,48,19,16,4705933,2167760,50248,1459944,554068,473912,2436,1122,26,756,287,245,2933,839,41,1180,459,414,4550540,2163577,49287,1453363,536393,347919,127250,34739,2401,49394,21449,19267,66,18,1,26,11,10,101,17,2,44,19,19,5230151,2648807,72336,1362970,566709,545652,2707,1371,37,705,293,282,3153,1022,59,1098,468,476
Panama,PAN,11.2,12,9.4,688,99,23,312,147,107,17,2,1,8,4,3,17,2,1,8,4,3,15858,3294,535,6976,3106,1947,393,82,13,173,77,48,400,78,14,180,79,49,15304,3269,529,6901,2948,1657,420,111,36,115,65,92,10,3,1,3,2,2,10,3,1,3,2,2,10621,3747,855,2709,1438,1673,263,93,21,67,36,41,265,89,23,70,37,42
Peru,PER,24.3,29,18.4,10499,4651,364,3351,1154,979,33,15,1,11,4,3,37,16,1,12,4,3,263079,116551,8550,82422,34604,20951,828,367,27,259,109,66,904,392,31,288,119,74,257557,115882,8477,81671,33140,18387,9716,5297,579,2002,832,1007,31,17,2,6,3,3,34,18,2,7,3,4,247500,132650,13626,51065,25405,21347,779,417,43,161,80,67,847,446,49,178,87,75
Philippines,PHL,18.4,18.7,14,46816,12064,1121,19109,10358,4165,45,12,1,18,10,4,72,19,2,28,15,7,1508514,423061,32588,590681,324760,137424,1460,409,32,572,314,133,1920,482,44,765,425,204,1447530,421891,32291,588470,316451,88426,86678,31004,3977,25693,17122,8882,84,30,4,25,17,9,134,50,6,38,25,16,2857357,1089634,115707,800399,534213,292097,2766,1055,112,775,517,283,3599,1240,156,1033,695,435
Palau,PLW,12.2,12.4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papua New Guinea,PNG,10.9,11.5,10.8,1944,422,19,878,436,189,24,5,0,11,5,2,42,7,0,20,10,5,73689,25520,585,27199,13722,6664,911,316,7,336,170,82,1255,287,12,538,274,144,70841,25429,574,27111,13157,4569,6002,2039,137,1896,1225,705,74,25,2,23,15,9,125,33,3,43,28,18,252230,124083,4129,58528,37910,24956,3120,1535,51,724,469,309,3993,1389,86,1162,753,540
Poland,POL,20.5,21.5,18,29165,2995,3059,16482,3733,2897,76,8,8,43,10,8,38,4,4,21,5,4,570938,52174,75843,304722,80946,57253,1494,136,198,797,212,150,866,86,116,459,124,82,549059,51872,75233,301708,71191,49055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,PRK,30.4,31,29,22606,1172,2283,5490,6554,7108,89,5,9,22,26,28,81,5,8,20,23,26,549893,43786,60841,132602,166255,146408,2168,173,240,523,655,577,1948,196,203,466,575,508,527561,43336,60263,131959,159349,132655,43796,2492,6685,8412,11712,14495,173,10,26,33,46,57,157,10,23,30,41,53,1058544,93363,176134,201075,288415,295264,4173,368,694,793,1137,1164,3751,419,588,707,995,1028
Portugal,PRT,7.9,8.1,7.1,2936,553,170,1004,808,402,28,5,2,10,8,4,10,2,1,4,3,1,46158,6613,4094,16588,12719,6144,445,64,39,160,123,59,203,26,22,78,54,24,43635,6574,4057,16337,11504,5162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,PRY,11.2,11.7,10.2,1314,159,51,675,309,121,20,2,1,10,5,2,25,3,1,13,6,2,35533,6323,1289,16865,8417,2638,528,94,19,251,125,39,644,96,25,316,156,50,34711,6224,1278,16706,8173,2330,1965,432,188,696,403,246,29,6,3,10,6,4,37,8,4,13,8,5,57641,17307,4773,17941,11427,5396,857,257,71,267,170,80,1019,263,91,335,211,102
Qatar,QAT,90.3,91.7,81.3,323,30,27,215,35,15,13,1,1,8,1,1,46,4,3,32,4,3,12044,1426,954,7015,1578,1071,469,55,37,273,61,42,1108,111,86,703,109,99,10982,1392,948,6900,1353,389,10,1,1,6,1,1,0,0,0,0,0,0,1,0,0,1,0,0,399,59,42,209,46,41,16,2,2,8,2,2,35,5,4,19,3,4
Romania,ROU,14.3,15.4,12.7,16644,936,909,9702,4016,1082,84,5,5,49,20,5,40,3,3,23,9,3,327866,27255,24175,178114,74933,23390,1658,138,122,901,379,118,967,131,75,496,199,65,316751,27063,23970,176803,69019,19897,8728,935,1215,3825,1893,859,44,5,6,19,10,4,22,3,3,9,4,2,186506,27245,32178,72148,35074,18312,943,138,163,365,177,93,586,133,99,205,95,51
Russian Federation,RUS,13.7,14.7,12.2,115915,4256,5328,73168,28853,4310,81,3,4,51,20,3,46,2,2,29,11,2,2522838,154971,143081,1517837,603938,103011,1752,108,99,1054,420,72,1131,90,64,670,261,45,2444036,152714,142044,1510579,551863,86836,8770,692,1138,4334,2045,560,6,0,1,3,1,0,4,0,0,2,1,0,206978,25109,30316,93738,42673,13335,144,17,21,65,30,9,96,15,14,42,19,6
Rwanda,RWA,40.7,40.7,44,2811,1500,18,562,448,283,24,13,0,5,4,2,49,21,0,12,9,7,118784,82233,599,14912,12850,8190,997,690,5,125,108,69,1363,706,10,266,225,157,116085,81960,589,14749,12450,6337,5432,3090,50,897,830,566,46,26,0,8,7,5,94,43,1,19,17,13,237331,169794,1684,23485,23201,16342,1991,1425,14,197,195,137,2685,1453,28,423,409,313
Saudi Arabia,SAU,78.4,86.7,75.1,11915,2414,259,6510,2118,614,37,7,1,20,7,2,79,17,2,41,15,5,337742,70241,7809,181522,57467,20702,1046,218,24,562,178,64,1757,357,39,932,314,115,323729,69421,7726,179852,53218,13512,1097,278,34,533,183,69,3,1,0,2,1,0,7,2,0,3,1,1,31899,8115,1029,15316,4862,2292,99,25,3,47,15,7,163,41,5,76,26,13
Sudan,SDN,47.9,46.8,48.3,22083,5912,87,11125,3471,1489,56,15,0,28,9,4,100,16,0,57,18,9,939662,422409,2735,356442,114377,43699,2374,1067,7,901,289,110,3118,789,13,1593,505,217,927090,421591,2639,355168,110755,36937,25513,8050,149,11330,4021,1963,64,20,0,29,10,5,112,22,1,58,21,11,1150791,577241,4684,366350,132007,57568,2908,1458,12,926,334,145,3660,1074,22,1630,576,286
Senegal,SEN,37.5,39.7,35.2,5239,2400,25,1603,773,438,34,16,0,10,5,3,75,25,0,28,13,8,213905,139467,925,39894,21643,11977,1388,905,6,259,140,78,1949,831,12,607,312,187,210229,139130,904,39628,20835,9732,7904,4087,57,1955,1098,708,51,27,0,13,7,5,110,43,1,34,18,13,342446,238538,2086,48776,30147,19262,2222,1548,14,316,196,125,2976,1413,27,741,433,301
Singapore,SGP,18.3,18.3,12.7,2211,999,202,674,234,101,39,18,4,12,4,2,26,12,2,8,3,1,42589,14286,4466,15827,5276,2734,757,254,79,281,94,49,512,175,53,188,64,32,40744,14239,4421,15699,4676,1709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,SLB,10.7,11.5,10.6,104,18,2,46,26,13,17,3,0,8,4,2,37,4,1,17,10,5,3503,1023,48,1293,726,413,584,171,8,216,121,69,946,158,15,405,232,137,3329,1016,47,1287,684,295,333,91,11,105,76,50,56,15,2,18,13,8,113,23,4,38,28,20,12411,5292,354,2925,2085,1608,2070,883,59,488,348,268,3087,812,108,919,661,532
Sierra Leone,SLE,20.6,20.6,20.7,3405,1608,6,1019,580,193,46,22,0,14,8,3,104,37,0,39,20,8,159908,100960,208,32044,20471,6224,2162,1365,3,433,277,84,3085,1335,6,975,565,204,158722,100850,203,31946,20210,5513,9036,5112,26,1964,1388,546,122,69,0,27,19,7,263,116,1,75,48,23,452261,322084,932,61303,48364,17595,6115,4355,13,829,654,238,8134,4239,26,1879,1337,575
El Salvador,SLV,23.4,23.8,20.7,1905,436,48,1053,179,188,30,7,1,17,3,3,30,7,1,17,3,3,47792,13546,1118,24332,5031,3765,753,214,18,383,79,59,793,216,19,411,86,61,46617,13477,1105,24180,4752,3103,941,316,48,376,77,125,15,5,1,6,1,2,15,5,1,6,1,2,25370,9796,1120,9132,2206,2489,400,154,18,144,35,39,418,156,19,155,38,40
San Marino,SMR,13.4,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somalia,SOM,29.5,28,29.9,8071,5685,22,1314,773,276,56,40,0,9,5,2,82,36,0,25,14,6,522989,449301,739,40452,24308,8189,3653,3138,5,283,170,57,3106,1940,11,633,378,144,520897,449085,732,40274,23932,6875,17511,13153,71,2177,1524,586,122,92,0,15,11,4,167,83,1,41,28,13,1181899,1041977,2359,66349,47177,17401,8255,7277,16,463,329,122,6733,4479,36,1046,736,307
Serbia,SRB,24.3,24.7,23,6592,289,802,3111,1577,813,75,3,9,35,18,9,39,2,5,18,9,5,137609,5840,21444,62044,31481,16799,1560,66,243,703,357,190,911,45,147,415,199,104,131183,5763,21260,61387,28132,14640,4823,300,1087,1694,993,750,55,3,12,19,11,8,29,2,7,10,6,4,104905,6039,29051,34467,18927,15407,1189,68,329,391,215,175,703,47,200,234,121,96
South Sudan,SSD,41.1,40.9,41.1,5551,3599,29,979,659,284,45,29,0,8,5,2,70,33,0,18,12,6,310341,254141,913,27410,19235,8642,2537,2078,7,224,157,71,2463,1541,15,445,311,152,306909,253736,902,27157,18665,6450,10316,7010,75,1514,1183,534,84,57,1,12,10,4,126,64,1,29,22,11,593607,496458,2378,41903,33604,16198,4853,4059,19,343,275,132,4607,2999,38,685,545,285
Sao Tome and Principe,STP,25.7,25.2,26.3,58,24,2,12,11,10,29,12,1,6,5,5,59,19,2,13,12,12,1971,1117,52,278,290,235,986,559,26,139,145,118,1510,589,60,299,297,266,1926,1113,51,275,280,207,127,59,7,19,20,23,64,29,3,9,10,11,126,47,8,21,23,27,4502,2770,173,442,546,531,2252,1386,87,221,273,266,3340,1455,202,477,561,599
Suriname,SUR,23.6,25.8,19.4,217,33,9,100,61,13,39,6,2,18,11,2,44,7,2,20,12,3,5729,945,242,2623,1594,325,1026,169,43,470,285,58,1099,180,47,501,308,64,5608,938,240,2606,1551,272,78,19,7,27,19,6,14,3,1,5,3,1,16,4,1,5,4,1,2160,535,178,729,517,163,387,96,32,131,93,29,414,102,34,138,99,32
Slovakia,SVK,17.5,18,16.4,2974,308,254,1743,480,189,55,6,5,32,9,3,31,3,3,18,5,2,60415,6070,6282,32758,10688,4618,1110,111,115,602,196,85,695,82,71,368,122,52,57602,6019,6208,32365,9303,3707,276,50,53,111,37,25,5,1,1,2,1,0,3,1,1,1,0,0,5902,971,1317,2163,785,608,108,18,24,40,14,11,69,13,15,25,9,7
Slovenia,SVN,15.8,16.4,14.7,994,119,114,477,192,90,48,6,5,23,9,4,19,2,3,9,4,2,16664,1357,2748,7562,3346,1652,802,65,132,364,161,80,389,26,72,178,76,36,15631,1341,2722,7426,2868,1275,210,42,53,62,29,25,10,2,3,3,1,1,4,1,1,1,1,0,3727,473,1269,1005,471,455,179,23,61,48,23,22,89,9,33,24,11,10
Sweden,SWE,5.9,6.1,5.4,1819,115,93,1060,312,240,18,1,1,11,3,2,7,0,0,4,1,1,29293,1490,1884,16179,4895,4845,298,15,19,164,50,49,144,7,10,81,23,23,26742,1475,1861,15894,4115,3396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,SWZ,16.3,16.2,16.4,349,144,2,97,62,43,26,11,0,7,5,3,54,15,0,18,12,9,14466,9071,72,2516,1625,1183,1077,675,5,187,121,88,1544,634,11,418,272,209,14124,9053,69,2497,1574,931,668,357,8,120,95,88,50,27,1,9,7,7,97,37,1,23,18,18,31042,22585,246,3161,2478,2423,2311,1682,18,235,184,180,2996,1570,38,522,409,428
Seychelles,SYC,18.7,18.6,19,41,11,2,18,7,4,43,12,2,19,7,4,38,10,1,17,6,3,1110,261,43,479,196,131,1178,277,46,508,208,139,1028,253,40,436,178,122,1041,260,43,476,184,77,15,6,1,4,2,2,16,6,1,5,2,2,14,5,1,4,2,2,398,131,29,121,57,56,423,140,31,128,61,59,372,128,27,110,52,52
Syrian Arab Republic,SYR,39.4,37.4,49.2,7874,581,366,5642,908,377,43,3,2,31,5,2,74,4,3,54,8,4,229750,32074,9991,148747,28257,10682,1247,174,54,807,153,58,1883,169,89,1291,236,98,224160,31671,9947,148078,26672,7792,194,22,16,120,22,14,1,0,0,1,0,0,2,0,0,1,0,0,6250,1244,440,3377,703,385,34,7,2,18,4,2,49,7,4,29,6,4
Chad,TCD,53,50.8,53.6,12033,8791,17,1658,1086,481,83,61,0,11,8,3,130,65,0,33,21,10,766352,663943,594,49897,36668,15249,5303,4594,4,345,254,106,4821,3109,10,848,585,269,762890,663521,575,49655,35998,13142,19811,14873,37,2350,1745,807,137,103,0,16,12,6,208,110,1,48,33,17,1287139,1126416,1305,70019,57759,25458,8906,7794,9,484,400,176,7973,5247,21,1198,925,450
Togo,TGO,32.7,31.2,35.1,3448,1691,9,971,534,243,45,22,0,13,7,3,100,38,0,35,18,9,153105,101260,299,27497,16746,7303,2013,1331,4,361,220,96,2776,1281,8,805,458,224,151422,101120,289,27371,16391,6251,6697,3646,26,1531,993,501,88,48,0,20,13,7,190,80,1,55,34,20,310832,219490,859,43038,30596,15003,4086,2886,11,566,402,197,5414,2759,23,1268,838,461
Thailand,THA,26.2,26.6,25.2,33546,9425,2820,9612,6122,5568,49,14,4,14,9,8,36,10,3,10,7,6,836607,203049,74779,229736,170357,158686,1215,295,109,334,247,230,934,245,80,250,187,171,767327,201862,74139,226990,160133,104205,29802,10383,4114,5670,4234,5401,43,15,6,8,6,8,32,11,4,6,5,6,759586,222705,109041,139262,116763,152995,1103,323,158,202,170,222,852,269,117,152,129,165
Tajikistan,TJK,40,42.8,37.8,4379,891,64,2147,875,402,50,10,1,25,10,5,94,11,1,51,21,10,142175,62095,2077,48027,20845,9132,1628,711,24,550,239,105,2319,564,38,1056,459,201,139841,61840,2063,47774,19850,8313,2200,611,55,871,404,259,25,7,1,10,5,3,45,8,1,21,10,6,80613,42847,1803,20065,9629,5853,923,491,21,230,110,67,1204,387,33,435,210,129
Turkmenistan,TKM,19,24.2,18,2844,271,56,1878,572,68,50,5,1,33,10,1,78,4,1,55,16,2,91616,22007,1982,48240,17210,2177,1618,389,35,852,304,38,2072,294,44,1255,425,54,90546,21946,1973,48094,16730,1804,74,14,4,39,15,3,1,0,0,1,0,0,2,0,0,1,0,0,2883,1140,125,1060,453,93,51,20,2,19,8,2,58,15,3,27,11,2
Timor-Leste,TLS,17.9,18.2,17.2,304,107,16,101,54,26,24,8,1,8,4,2,46,8,3,19,10,6,13859,8225,491,2702,1497,943,1092,648,39,213,118,74,1347,425,75,435,247,165,13350,8213,490,2683,1412,552,787,335,72,187,123,70,62,26,6,15,10,6,111,26,12,35,23,15,39624,25832,2144,4981,3263,2533,3123,2036,169,393,257,200,3609,1330,329,806,536,445
Tonga,TON,10.1,10.2,9.9,22,3,1,11,4,3,21,3,1,10,4,3,27,4,2,13,5,4,578,105,36,261,94,82,540,98,34,244,88,76,710,103,47,336,120,103,543,103,36,260,86,57,43,10,7,13,6,7,40,10,6,12,6,7,52,11,8,16,7,9,1154,333,163,316,139,192,1078,311,152,295,130,179,1379,326,212,406,179,243
Trinidad and Tobago,TTO,22,22.4,20.9,598,63,21,340,131,43,44,5,2,25,10,3,38,4,1,21,8,3,14898,1781,564,8615,2971,966,1091,130,41,631,218,71,935,130,34,527,184,60,14531,1762,559,8556,2840,814,16,3,1,7,3,2,1,0,0,1,0,0,1,0,0,0,0,0,422,85,34,189,72,38,31,6,2,14,5,3,27,6,2,12,4,2
Tunisia,TUN,35.7,35.7,35.5,6397,777,342,3676,1045,558,56,7,3,32,9,5,55,7,3,32,9,5,149661,19933,9802,82853,23503,13570,1312,175,86,727,206,119,1276,171,83,705,200,117,143960,19634,9709,82280,22147,10190,180,33,17,82,26,23,2,0,0,1,0,0,2,0,0,1,0,0,4505,860,474,1938,592,547,40,8,4,17,5,5,38,7,4,16,5,5
Turkey,TUR,42,41.2,43.2,36698,2327,4867,17331,5020,7153,46,3,6,22,6,9,47,3,6,22,6,9,932564,73888,148194,413948,134368,162166,1173,93,186,521,169,204,1175,94,187,520,168,206,883189,72643,147181,409768,124181,129415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuvalu,TUV,11.4,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,TZA,25.6,25.1,26.4,14831,8098,31,3982,1788,932,27,15,0,7,3,2,51,20,0,18,8,5,688480,502576,912,105584,51610,27798,1239,904,2,190,93,50,1500,753,4,423,203,117,678225,501592,871,104863,50289,20609,33215,20302,107,6921,3721,2163,60,37,0,12,7,4,110,51,0,31,16,10,1631522,1264676,3181,181757,105574,64458,2936,2276,6,327,190,116,3373,1886,13,732,416,272
Uganda,UGA,48.4,48.7,47.1,13416,8669,89,2095,1661,902,32,21,0,5,4,2,69,31,1,17,13,8,733316,590409,3052,61569,51029,27258,1768,1423,7,148,123,66,2126,1178,20,396,333,200,724550,589174,3013,61074,49812,21476,23364,15600,215,3117,2825,1606,56,38,1,8,7,4,117,55,2,25,22,14,1299934,1064718,7278,90233,84783,48391,3133,2566,18,217,204,117,3701,2115,47,587,557,356
Ukraine,UKR,18.3,19.4,16.7,54932,927,1908,41334,8702,2060,124,2,4,93,20,5,64,2,3,47,10,2,1127915,37046,52972,798764,192205,46929,2538,83,119,1797,433,106,1507,79,75,1037,255,62,1100063,36323,52498,795373,174993,40876,6620,228,600,4288,1080,424,15,1,1,10,2,1,8,0,1,5,1,0,145606,9079,16568,85862,23426,9566,328,20,37,193,53,22,203,20,23,114,32,13
